,global_id,ID,SculpName,Latitude_WGS84,Author,ManufactYear,Material,Description,LocationPlace,Longitude_WGS84,Photo,geoData
639,1059370809,664,Герма «Женская со страусовыми перьями на голове»,55.82541,['Неизвестный скульптор Италия'],,Мрамор,"Торс обрезан до талии и верхней части рук. Голова на 3-4 влево. Волнистые волосы разделены на пробор, сзади на шее перехвачены лентой, надо лбом два пера и круглый рельефный медальон. На левое плечо накинут плащ, поверх плаща звериная шкура, стянутая под правой грудью за лапы узлом. Постамент – прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» Партер парка,37.614159,4ec7f918-73bc-491e-a856-6f691b2ca0a0,"{'type': 'Point', 'coordinates': [37.614159, 55.82541]}"
640,1059370857,665,Герма женская «Африка»,55.825514,['Неизвестный скульптор Италия'],,Мрамор,"Обрез бюста до талии и верхней части рук. Голова слегка повернута вправо. Короткие курчавые волосы обрамляют лицо. На голове сложный убор из длинного покрывала, спереди надо лбом закрученного узлом. Нижняя часть бюста задрапирована тканью, грудь украшена бусами и широким ожерельем. Постамент – прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» Партер парка,37.614154,ce4e2a13-63d0-4245-adc4-22eebd6e143e,"{'type': 'Point', 'coordinates': [37.614154, 55.825514]}"
641,1059370946,666,Герма женская «Флора» (?),55.825643,['Неизвестный скульптор Италия'],,Мрамор,"Торс обрезан до талии и верхней части рук. Голова на 3-4 влево. Пышные волнистые волосы разделены пробором, на затылке собраны в прическу в виде узла. На голове венок из роз. Облегающее грудь и плечи платье с треугольным корсажем, с пышными рукавами, с круглым глубоким вырезом. На груди поверх платья ожерелье. Нижняя часть бюста задрапирована плащом, отороченным звериной шкурой. Постамент – прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» партер парка,37.61416,3c18514b-83ed-45c7-9164-7837910f0740,"{'type': 'Point', 'coordinates': [37.61416, 55.825643]}"
642,1059371053,667,Герма женская «Лето»,55.825721,['Неизвестный скульптор Италия'],,Мрамор,"Обрез бюста до талии. Голова на 3-4 вправо. Волнистые волосы разделены пробором, спускаются на правое плечо и грудь. Драпировка, сколота на левом плече фибулой. В левой руке, согнутой в локте под прямым углом, серп. Постамент – прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» - Партер парка,37.614158,fafec832-4809-41aa-9edb-1ee8359625cb,"{'type': 'Point', 'coordinates': [37.614158, 55.825721]}"
643,1059371144,668,Герма женская «Вакханка»,55.82582,['Неизвестный скульптор Италия'],,Мрамор,"Торс до талии и верхней части рук. Голова немного вскинута вверх и слегка повернута к правому плечу. Волнистые волосы разделены на пробор и тяжелыми прядями обрамляют лицо. На голове венок из виноградной лозы с гроздями винограда. На правое плечо накинут плащ. Постамент – прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» Партер парка,37.614158,b74e036f-6745-40c6-aa9c-64b41693d4f1,"{'type': 'Point', 'coordinates': [37.614158, 55.82582]}"
644,1059371200,669,Герма мужская,55.825967,['Неизвестный скульптор Италия'],,Мрамор,"Торс до талии верхней части рук. Голова повернута к правому плечу. Пышные волосы короткими волнистыми прядями обрамляют лицо. Драпировка оставляет открытыми шею и верхнюю часть груди. Постамент – барочной формы, плавно расширяющийся книзу, на передней плоскости сложная филенка, внизу заканчивающаяся рельефными валютами, между которыми рельефное изображение трех акантовых листьев.",ГБУК г. Москвы «Музей-усадьба Останкино» Партер парка,37.614155,b1e9efbe-3b4d-4c08-8ca4-c09c71279a73,"{'type': 'Point', 'coordinates': [37.614155, 55.825967]}"
645,1059371277,670,Герма мужская «Турок»,55.825943,['Неизвестный скульптор Италия'],,Мрамор,"Торс до талии и верхней части рук. Голова вскинута вверх и повернута к правому плечу. На голове чалма. Бюст задрапирован пышными складками плаща, который оставляет открытым левое плечо и часть левой руки. Через левое плечо перевязана лента.",ГБУК г. Москвы «Музей-усадьба Останкино» Партер парка,37.614979,5b4ec2ba-0dec-4baf-97ac-3f71389e1dce,"{'type': 'Point', 'coordinates': [37.614979, 55.825943]}"
646,1059371330,671,Герма мужская,55.825731,['Неизвестный скульптор Италия'],,Мрамор,"Торс до талии и верхней части рук. Голова слегка повернута влево. Короткие волнистые волосы обрамляют лицо, мелкими завитками падают на лоб. На голове венок из лавровых листьев, сзади перевязанный лентой. Бюст задрапирован в тогу, плащ на правом плече подколот фибулой. Постамент прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.","ГБУК г. Москвы «Музей-усадьба Останкино»
Партер парка",37.615021,004ce1a3-ee6e-474d-b6e3-d0474b0ed367,"{'type': 'Point', 'coordinates': [37.615021, 55.825731]}"
647,1059371479,672,Герма мужская,55.825731,['Неизвестный скульптор Италия'],,Мрамор,"Обрез бюста до талии и верхней части рук. Голова повернута влево. Короткие волнистые волосы обрамляют лицо. На голове венок из лавровых листьев. Бюст задрапирован в тогу, плащ на левом плече подколот фибулой. Постамент прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» Партер парка,37.615021,39237537-7b6a-48d8-957e-b36003c8a6c8,"{'type': 'Point', 'coordinates': [37.615021, 55.825731]}"
648,1059371625,673,Герма женская «Рея»,55.825663,['Неизвестный скульптор Италия'],,Мрамор,"Торс до талии и верхней части рук. Голова на 3-4 вправо. Волнистые волосы разделены на пробор, тяжелыми прядями обрамляют лицо, на затылке собраны в прическу в виде узла. На голове корона. Хитон с мелкими складками, поверх хитона плащ тяжелыми складками спускается с правого плеча, драпирует нижнюю часть бюста. Постамент прямоугольный, высокий, суживающийся книзу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» Партер парка,37.61501,ed280adc-3c25-4ab3-a2bb-f8bbd2391df5,"{'type': 'Point', 'coordinates': [37.61501, 55.825663]}"
649,1059371699,674,Герма женская «Богиня города»,55.825538,['Неизвестный скульптор Италия'],,Мрамор,"Обрез бюста до талии и верхней части рук. Голова на 3-4 повернута влево. Пышные волнистые волосы разделены на пробор, на лбу перехвачены лентой, чуть ниже затылка стянуты в узел. На голове украшение в виде трех крепостных башен. Бюст задрапирован пышными складками плаща. Постамент прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» «Партер парка»,37.615016,8cbf814e-f4c8-4558-b98b-68d74fc81dab,"{'type': 'Point', 'coordinates': [37.615016, 55.825538]}"
650,1059371760,675,Герма женская,55.825427,['Неизвестный скульптор Италия'],,Мрамор,"Обрез бюста немного выше талии. Голова слегка повернута вправо. Пышные волнистые волосы разделены на пробор, на затылке собраны в прическу в виде уложенных локонов, спускающихся на спину и плечи. Драпировка оставляет обнаженными левое плечо и левую грудь. Постамент прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» «Партер парка»,37.615027,e63b0101-9e86-47fb-b858-5822af60ca9d,"{'type': 'Point', 'coordinates': [37.615027, 55.825427]}"
651,1059371816,676,Герма женская «Нереида»,55.825328,['Неизвестный скульптор Италия'],,Мрамор,"Обрез бюста до талии и верхней части рук. Голова слегка откинута назад и резко повернута влево. Волосы разделены пробором, от затылка локонами спускаются на левое плечо и спину. Прическу завершает стилизованная раковина. Постамент прямоугольный, высокий, суживающийся к низу, на передней плоскости профилированная филенка.",ГБУК г. Москвы «Музей-усадьба Останкино» «Партер парка»,37.615033,b9d5334e-d288-4b45-aca2-2f85abfa698a,"{'type': 'Point', 'coordinates': [37.615033, 55.825328]}"
652,1059371972,677,«Аполлон Бельведерский»,55.824556,['Неизвестный скульптор Италия'],,Мрамор,"Статуя изображает Аполлона, древнегреческого бога солнца и света, сына Зевса и Латоны, в образе молодого прекрасного юноши, стреляющего из лука.",ГБУК г. Москвы «Музей-усадьба Останкино» Парадный двор,37.61465,0e672c96-4049-43cc-b753-afd244cb6ce1,"{'type': 'Point', 'coordinates': [37.61465, 55.824556]}"
653,1059372341,678,«Лев»,55.825121,['Неизвестный скульптор Россия'],,Мрамор,"Статуя лежащего льва, передние лапы вытянуты, задние поджаты. Хвост обвивает бедро и кончик его закинут на спину. Грива стилизованная.",ГБУК г. Москвы «Музей-усадьба Останкино» Крыльцо Египетского павильона дворца,37.615273,453927af-ad6e-41c2-9fed-62636f20d155,"{'type': 'Point', 'coordinates': [37.615273, 55.825121]}"
654,1059372408,679,«Лев»,55.825126,['Неизвестный скульптор Россия'],,Мрамор,"Статуя лежащего льва, передние лапы вытянуты, задние поджаты. Хвост обвивает бедро и кончик его закинут на спину. Грива стилизованная.",ГБУК г. Москвы «Музей-усадьба Останкино» Крыльцо Египетского павильона дворца,37.615458,4df8d2d6-b4eb-4eea-a82c-62d43a105d8c,"{'type': 'Point', 'coordinates': [37.615458, 55.825126]}"
655,1059372469,680,«Лев»,55.825165,['Неизвестный скульптор Россия'],,Мрамор,"Статуя лежащего льва, передние лапы вытянуты, задние поджаты. Хвост обвивает бедро, кончик его закинут на спину. Грива стилизованная.",ГБУК г. Москвы «Музей-усадьба Останкино» Крыльцо северного входа во дворец,37.614589,c3c2e130-c861-4dfa-835f-52c8959bcc3e,"{'type': 'Point', 'coordinates': [37.614589, 55.825165]}"
656,1059372488,681,«Лев»,55.825167,['Неизвестный скульптор Россия'],,Мрамор,"Статуя лежащего льва, передние лапы вытянуты, задние поджаты. Хвост обвивает бедро и кончик его закинут на спину. Грива стилизованная.",ГБУК г. Москвы «Музей-усадьба Останкино» Крыльцо северного входа во дворец,37.614731,4497d616-e1c2-4870-9a3a-88d381a4e84b,"{'type': 'Point', 'coordinates': [37.614731, 55.825167]}"
657,1059372790,682,«Лев»,55.825098,['Неизвестный скульптор Россия'],,Мрамор,"Статуя лежащего льва, передние лапы вытянуты, задние поджаты. Хвост обвивает бедро и кончик его закинут на спину. Грива стилизованная.",ГБУК г. Москвы «Музей-усадьба Останкино» Крыльцо Итальянского павильона дворца,37.613792,27987460-0579-47ee-8a36-b3ac608d3d9e,"{'type': 'Point', 'coordinates': [37.613792, 55.825098]}"
658,1059372936,683,«Лев»,55.8251,['Неизвестный скульптор Россия'],,Мрамор,"Статуя лежащего льва, передние лапы вытянуты, задние поджаты. Хвост обвивает бедро и кончик его закинут на спину. Грива стилизованная.",ГБУК г. Москвы «Музей-усадьба Останкино»,37.613972,9ad46817-4cc2-4ca3-9330-59654ae2e060,"{'type': 'Point', 'coordinates': [37.613972, 55.8251]}"
659,1059373408,684,«Грустная Муму»,55.7387,['М С Казанцева'],,Бронза,"Небольшая скульптура высотой 38 см. Представляет собаку испанской породы, сидящую на задних лапах на постаменте из малинового кварцита. Голова повернута влево. Хвост опущен.",ГБУК «ГМП» «Дом-музей И. С. Тургенева» Двор,37.5964,d3501ec2-073a-4794-85d5-0e7a7f324f98,"{'type': 'Point', 'coordinates': [37.5964, 55.7387]}"
660,1059373512,685,«Девушка и конь»,37.597181,['Бурганов Александр Николаевич'],1987.0,Бронза,"На подставке с колонной установлена рама, внутри бюст молодой женщины и голова коня, на втором плане драпировка.","ГБУК МГМ «Дом Бурганова», галерея «Люди-легенды»",55.746507,3b5bc755-142a-4672-b66f-cc2146751037,"{'type': 'Point', 'coordinates': [55.746507, 37.597181]}"
662,1059374428,687,Портрет М Л Ростроповича,55.746507,['Бурганов Александр Николаевич'],2008.0,Бронза,"Портрет музыканта (бюст) в концертном костюме с бабочкой, на первый план вынесена кисть левой руки, держащая виолончель.","ГБУК МГМ «Дом Бурганова», галерея «Люди-легенды»",37.597181,9b0edea8-d81b-4772-96d6-979ff9a0b28d,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
663,1059374597,688,Портрет Ивана Бунина,55.746507,['Бурганов Александр Николаевич'],1996.0,Бронза,"Бюст мужчины с небольшой бородкой и усами. Волосы короткие, расчесаны на прямой пробор. Одет в пиджак и рубашку, затянутую под воротничком галстуком.","ГБУК МГМ «Дом Бурганова», галерея «Люди-легенды»",37.597181,06b1dedc-995c-4067-a1a2-a3ba39ebf210,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
665,1059374925,690,«Муза ожидания»,55.746507,['Бурганов Александр Николаевич'],2002.0,Бронза,"Скульптурная композиция из двух плоских мужских фигур, расположенных одна впереди другой. Передний силуэт выполнен в виде ажурной сетки, с объемной кистью, расположенной ниже уровня груди. Сзади развевающаяся драпировка.","ГБУК МГМ «Дом Бурганова», галерея «Люди-легенды»",37.597181,4e3d6cdf-df26-4652-bca2-d13919aa5642,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
670,1059376690,695,«Химера»,55.746507,['Бурганов Александр Николаевич'],1990.0,Бронза,Нижняя часть сидящей фигуры (ноги). Сбоку у левого бедра выглядывает голова химеры с раскрытой пастью. Композицию венчает взметнувшаяся драпировка.,"ГБУК МГМ «Дом Бурганова», «Малый двор музея»",37.597181,351540ad-3e91-4b3d-b520-a04a1d7da297,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
671,1059377006,696,«Бегущая с птицей»,55.746507,['Бурганов Александр Николаевич'],1975.0,Бронза,"Бегущая девушка в коротком облегающем платье на фоне огромной летящей птицы, изображенной на крыле. В левой руке девушки развевающаяся драпировка.","ГБУК МГМ «Дом Бурганова», «Малый двор музея»",37.597181,9527b581-fc52-4c5e-94a0-e517ff47787e,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
672,1059377141,697,«Юность»,55.746507,['Бурганов Александр Николаевич'],1985.0,Бронза,"Обнаженная девушка с поднятой левой рукой, бегущая вправо наперегонки с огромной птицей, изображенной на крыле. Правая рука девушки накрыта развевающейся драпировкой.","ГБУК МГМ «Дом Бурганова», «Малый двор музея»",37.597181,bbff038c-8233-4381-9727-06b6418c40a3,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
673,1059377268,698,«Змея»,55.746507,['Бурганов Александр Николаевич'],2000.0,Бронза,"Составленные по вертикали снизу вверх сплетенный змеиный узел, женский бюст, голова лошади.","ГБУК МГМ «Дом Бурганова», «Малый двор музея»",37.597181,23a37d29-dd91-4012-9f31-3b7f6aa3051b,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
674,1059377479,699,«Урна»,55.746507,['Бурганов Александр Николаевич'],1982.0,Бронза,"Стилизованная погребальная урна с двумя масками в обрамлении развевающихся драпировок, цветов и листьев аканта. В центре рельефная табличка с углубленной надписью в две строки: «ANNO LXXXII».","ГБУК МГМ «Дом Бурганова», «Малый двор музея»",37.597181,a0af437c-b87b-4d6d-888b-8ba5ee2fa8a0,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
675,1059377729,700,«Пророк»,55.746507,['Бурганов Александр Николаевич'],1990.0,Бронза,"Изогнутая пластина, охватывающая большую рыбу. На одном конце пластины - голова мужчины, другой конец опирается на две обнаженные ноги.","ГБУК МГМ «Дом Бурганова», «Музейный садик»",37.597181,92f9f49e-75ce-4c2f-a5a2-f4ed6589b303,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
676,1059377814,701,«Аллегория весны»,55.746507,['Бурганов Александр Николаевич'],1969.0,Медь,"Стилизованная женская фигура в длинном одеянии. В верхней части фигуры в аксонометрии изображен сельский пейзаж с распускающимися деревьями, лошадьми, людьми и хозяйственной постройкой с плоской крышей.","ГБУК МГМ «Дом Бурганова», «Большой двор»",37.597181,55c4d4e1-0ad3-465a-b449-680c976fa906,"{'type': 'Point', 'coordinates': [37.597181, 55.746507]}"
